product_id,product_name,category,brand,description,price,marketplace,rating,terjual,tanggal_upload
FP00153,Sweater Rajut Greenlight Best Seller,Fashion Pria,Greenlight,"Sweater Rajut dari Greenlight, desain simpel elegan untuk gaya kasual maupun formal.",280500,TikTok Shop,3.9,22311,2025-10-05
FP00162,Jaket Bomber Greenlight Premium,Fashion Pria,Greenlight,"Jaket Bomber dari Greenlight, model slim fit kekinian cocok untuk anak muda.",80500,Shopee,4.1,1,2022-01-17
FW00459,Rok Plisket Berrybenka Terbaru,Fashion Wanita,Berrybenka,"Rok Plisket dari Berrybenka, model korean style yang sedang tren dan kekinian.",344000,Tokopedia,4.3,1179,2024-09-13
IB01405,Gendongan Bayi Nuby,Ibu & Bayi,Nuby,"Gendongan Bayi dari Nuby, bahan hypoallergenic bebas bahan kimia berbahaya.",187500,Shopee,4.3,246,2019-07-25
FW00259,Rok Plisket Zara Basic Edisi Spesial,Fashion Wanita,Zara Basic,"Rok Plisket dari Zara Basic, desain feminim elegan cocok untuk kerja maupun jalan.",196500,Shopee,3.9,1666,2020-10-27
IB01404,Sepatu Prewalker Cussons Baby Edisi Spesial,Ibu & Bayi,Cussons Baby,"Sepatu Prewalker dari Cussons Baby, daya serap tinggi membuat bayi nyaman sepanjang hari.",271500,Shopee,4.3,12395,2021-09-16
FW00339,Celana Kulot Pomelo Original,Fashion Wanita,Pomelo,"Celana Kulot dari Pomelo, desain feminim elegan cocok untuk kerja maupun jalan.",239000,Shopee,4.7,34,2025-04-07
IB01354,Sepatu Prewalker Sleek Best Seller,Ibu & Bayi,Sleek,"Sepatu Prewalker dari Sleek, daya serap tinggi membuat bayi nyaman sepanjang hari.",156000,TikTok Shop,5.0,410,2022-03-06
GA00762,Softcase Anti Crack Robot,Gadget & Aksesoris HP,Robot,"Softcase Anti Crack dari Robot, pengisian cepat kcompatibel untuk semua tipe hp.",263000,TikTok Shop,4.4,23044,2022-11-07
FP00227,Celana Chino Emba Best Seller,Fashion Pria,Emba,"Celana Chino dari Emba, jahitan rapi awet dan tidak mudah luntur.",321000,Tokopedia,4.4,4093,2020-02-26
IB01495,Selimut Bayi Nuby,Ibu & Bayi,Nuby,"Selimut Bayi dari Nuby, daya serap tinggi membuat bayi nyaman sepanjang hari.",140000,TikTok Shop,4.0,31,2024-10-24
FP00139,Kaos Polos Nevada Terbaru,Fashion Pria,Nevada,"Kaos Polos dari Nevada, desain simpel elegan untuk gaya kasual maupun formal.",242000,TikTok Shop,4.2,20372,2023-08-07
PR01232,Wadah Bumbu Claris Premium,Peralatan Rumah,Claris,"Wadah Bumbu dari Claris, praktis multifungsi memudahkan pekerjaan rumah tangga.",322000,TikTok Shop,4.4,229,2022-12-25
FP00249,Celana Chino 3Second Terbaru,Fashion Pria,3Second,"Celana Chino dari 3Second, desain simpel elegan untuk gaya kasual maupun formal.",72000,TikTok Shop,4.9,422,2022-10-16
GA00874,Smartwatch Aukey,Gadget & Aksesoris HP,Aukey,"Smartwatch dari Aukey, pengisian cepat kcompatibel untuk semua tipe hp.",153000,Shopee,4.1,17710,2024-12-27
